"Export time:  2/8/2024, 3:47:49 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07BL36JD4","Everlast Powercore Fitness Heavy Duty Training Bag with Glove, Ab Roller, Speed Rope, and High Density Base for Mixed Martial Arts, Blue","Everlast","$126.98","933","25","$118,472","03/19/2018","$5.18","4","4,500","$121.80","8,501","4","AMZ","15","Sports & Outdoors","Oversize","22.28 x 20.87 x 22.36 in","13.06 kg","https://www.amazon.com/dp/B07BL36JD4"
"Punching Bag","","B0BQBD3SK4","Prorobust Punching Bag, 4ft PU Heavy Boxing Bag Set with 12OZ Gloves Extended Chain for MMA Boxing Kickboxing Karate Home Gym Training (Unfilled)","Prorobust","$69.99","30","1","$2,100","12/15/2022","$42.19","4.5","56","$27.80","179,263","7","FBA","1","Sports & Outdoors","Oversize","13.35 x 6.61 x 16.42 in","3.34 kg","https://www.amazon.com/dp/B0BQBD3SK4"
"Average Monthly Sales: 400","","B08LR3M62C","Jayefo Sports Punching Bag - Hanging Boxing Bag for MMA, Karate, Judo, Muay Thai, Kickboxing, Self Defense Training for Training at Home or Gym - Unfilled Heavy Bag 70 to 100 lbs - Black","Jayefo","$39.99","494","13","$19,755","10/22/2020","$25.46","4.3","1,283","$14.53","16,956","6","FBA","2","Sports & Outdoors","Standard","10.35 x 5.08 x 12.36 in","1.87 kg","https://www.amazon.com/dp/B08LR3M62C"
"Average Revenue: $19,156","","B0C2YV6RR9","Prorobust Punching Bag for Adults, Red 4ft Oxford Heavy Boxing Bag Set with 12 oz Gloves for MMA Kickboxing Boxing Karate Home Gym Training (Unfilled)","Prorobust","$59.99","281","10","$16,857","04/18/2023","$39.76","4.2","78","$20.23","23,835","7","FBA","4","Sports & Outdoors","Standard","13.15 x 6.18 x 15.51 in","2.76 kg","https://www.amazon.com/dp/B0C2YV6RR9"
"Average Price: $53.99","","B09SZ46MCG","Prorobust Punching Bag for Adults, 4ft PU Heavy Boxing Bag Set with 12OZ Gloves for MMA Kickboxing Boxing Karate Home Gym Training (Unfilled)","Prorobust","$77.39","930","35","$71,973","03/29/2022","$48.10","4.3","785","$29.29","5,692","7","FBA","5","Sports & Outdoors","Oversize","13.15 x 6.69 x 17.2 in","3.23 kg","https://www.amazon.com/dp/B09SZ46MCG"
"Average No. of Ratings: 918","","B0CHFXQ2JB","Vensmuste Punching Bag for Adults, 4FT Oxford Heavy Boxing Bag Set, Punching Bag with 12OZ Punching Gloves, Hand Wraps, Chains, etc. Suitable for MMA Karate Kickboxing Boxing - Unfilled","Vensmuste","$49.99","591","29","$29,544","09/05/2023","$25.95","4.3","37","$24.04","7,152","6","FBA","1","Sports & Outdoors","Oversize","13.3 x 6.22 x 15.71 in","2.12 kg","https://www.amazon.com/dp/B0CHFXQ2JB"
"Average Sales Rank: 62,115","","B0C5JJNLHL","JUOIFIP Standing Punching Bag for Adults 69'' Heavy Bag with Stand Inflatable Boxing Bags Freestanding Kickboxing Bag Equipment for Training MMA Muay Thai Fitness to use Outdoor Indoor","JUOIFIP","$39.99","447","24","$17,876","06/17/2023","$26.06","3.6","52","$13.93","8,915","6","FBA","4","Sports & Outdoors","Standard","9.41 x 4.92 x 11.89 in","1.81 kg","https://www.amazon.com/dp/B0C5JJNLHL"
"Average Rating Number: 4.2","","B0CB14BSMM","ULLIKI 65' Punching Bag for Adults and Kids with Gloves - Freestanding Heavy Boxing Bag, Inflatable Boxing Training Equipment Practice Daily Boxing Activities Gift for Kids, Men, Women, boy, Girl","ULLIKI","$58.99","473","16","$27,902","08/30/2023","$42.21","4.1","51","$16.78","14,167","7","FBA","4","Sports & Outdoors","Standard","9.96 x 4.57 x 11.81 in","1.41 kg","https://www.amazon.com/dp/B0CB14BSMM"
"","","B07JJP4XTL","Punching Bag with Stand, Boxing Bag for Teens & Adults - Height Adjustable - Speed Bag for Training, Boxing Equipment, Stress Relief & Fitness","Tech Tools","$62.95","1,154","46","$72,644","10/17/2018","$30.89","4.3","4,543","$32.06","4,119","7","FBA","8","Sports & Outdoors","Oversize","17.8 x 6 x 21.5 in","3.43 kg","https://www.amazon.com/dp/B07JJP4XTL"
"","","B09J573HNH","DAAN MMA Grappling Dummy Judo Punching Bag BJJ Wrestling Sitting Position Brazilian JIU Jitsu Submission Self Defense Training Vinyl 170cm UNFILLED","Daan Mma","$104.99","289","7","$30,342","10/10/2021","$80.11","4.5","250","$24.88","33,506","7","FBA","2","Sports & Outdoors","Standard","11.81 x 5.67 x 12.05 in","1.7 kg","https://www.amazon.com/dp/B09J573HNH"
"","","B0C6FVDW5W","JAYEFO Kids Free Standing Punching Bag Set: Durable, Adjustable for Muay Thai, MMA, Boxing, Kickboxing - Safe & Fun Martial Arts Play with JAYEFO Brand Quality.","Jayefo","$99.99","","","$0.00","05/25/2023","$54.77","2.9","18","$45.22","249,971","7","FBA","1","Sports & Outdoors","Oversize","11.5 x 10.5 x 29.5 in","1.45 kg","https://www.amazon.com/dp/B0C6FVDW5W"
"","","B0CG94L5F3","Mamxwaga Punching Bag with Stand Adult, 70'' Freestanding Heavy Boxing Bag with Electric Air Pump, Youth Kids Inflatable Standing Kickboxing Bags","Mamxwaga","$56.99","200","4","$11,398","08/21/2023","$40.21","4.1","10","$16.78","52,821","7","FBA","1","Sports & Outdoors","Standard","11.14 x 4.45 x 11.77 in","2.37 kg","https://www.amazon.com/dp/B0CG94L5F3"
"","","B07GW7CXHT","Valleycomfy Boxing Curved Focus Punching Mitts- Leatherette Training Hand Pads","Valleycomfy","$19.99","3,693","162","$73,823","08/27/2018","$13.22","4.6","10,734","$6.77","681","6","FBA","2","Sports & Outdoors","Standard","9.02 x 6.81 x 10.39 in","0.18 kg","https://www.amazon.com/dp/B07GW7CXHT"
"","","B07XD524SS","Canvas Punching Bags MMA Muay Thai Kickboxing Training Boxing Punching Bag with Chains","Elite Sports","$39.99","241","9","$9,638","09/03/2019","$23.06","4.5","237","$16.93","24,890","6","FBA","3","Sports & Outdoors","Standard","10.43 x 6.14 x 17.83 in","1.55 kg","https://www.amazon.com/dp/B07XD524SS"
"","","B0BZBD74HT","LoGest Boxing Bag - Hanging Punching Bag Sports Training Equipment - MMA, Karate, Judo, Muay Thai, Kickboxing - Hanging or Freestanding - Unfilled Max Capacity 100 Lbs - Heavy Punching Bag","Logest","$37.99","","","","03/21/2023","","4.4","42","","","7","FBA","1","","","","","https://www.amazon.com/dp/B0BZBD74HT"
"","","B003VZIWZQ","Last Punch Heavy Duty Punching Bag with Chains","Lastworld","$32.99","405","16","$13,361","07/15/2010","$20.71","4.2","1,484","$12.28","13,879","3","FBA","8","Sports & Outdoors","Standard","10.67 x 2.32 x 17.83 in","1.36 kg","https://www.amazon.com/dp/B003VZIWZQ"
"","","B0923SSGKS","5 pcs Kids Punching Bag Set for Children Boxing MMA Kickboxing Boxing Gloves Muay Thai Karate Punching Kick Age Youth Unfilled","Jayefo","$39.99","360","9","$14,396","04/08/2021","$25.76","4.2","1,040","$14.23","26,477","6","FBA","1","Sports & Outdoors","Standard","9.17 x 5.2 x 12.52 in","0.81 kg","https://www.amazon.com/dp/B0923SSGKS"
"","","B09195VKTR","Jayefo Punching Bag and Boxing Gloves Set for Children - Kids Boxing Set with Boxing Bag with Hanging Straps and Boxing Gloves for Kids for Boxing, MMA, Karate, Judo - Ages 3 to 9","Jayefo","$29.99","205","9","$6,148","07/23/2020","$16.66","4.4","946","$13.33","25,334","6","FBA","1","Sports & Outdoors","Standard","10.75 x 5.24 x 12.99 in","0.63 kg","https://www.amazon.com/dp/B09195VKTR"
"","","B0CCD7XFJ4","4FT Punching Bag for Adults, 9-in-1 Unfilled Heavy Punching Bag,Heavy Punching Bag with 12OZ Gloves,Wraps, Chain, Ceiling Hook for MMA Kickboxing Boxing Karate Muay Thai Taekwondo","Vobab","$56.99","60","2","$3,419","","","4.3","35","","104,559","","FBA","","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CCD7XFJ4"
"","","B0CKMDCSR6","YORWHIN Upgrade Freestanding Punching Bag Adults, Heavy Boxing Bag for Adult Kids Teen- Women Men Stand Kickboxing Bag for Training MMA Fitness","YORWHIN","$59.99","154","2","$9,238","10/06/2023","$41.26","3.7","30","$18.73","108,048","7","FBA","1","Sports & Outdoors","Standard","9.72 x 7.2 x 12.99 in","2.12 kg","https://www.amazon.com/dp/B0CKMDCSR6"
